11190 <= x 11220; y_374 = -5539.0 + 0.5x; interpolation 
11220 <= x 11250; y_375 = 4932.6 + -0.4333x; interpolation 
11250 <= x 11280; y_376 = -4067.3999999999996 + 0.3667x; interpolation 
11280 <= x 11310; y_377 = 4581.0 + -0.4x; interpolation 
11310 <= x 11340; y_378 = -5598.0 + 0.5x; interpolation 
11340 <= x 11370; y_379 = 5742.0 + -0.5x; interpolation 
11370 <= x 11400; y_380 = -5249.4 + 0.4667x; interpolation 
11400 <= x 11430; y_381 = 2351.0 + -0.2x; interpolation 
11430 <= x 11460; y_382 = 15686.4 + -1.3667x; interpolation 
11460 <= x 11490; y_383 = -10290.0 + 0.9x; interpolation 
11490 <= x 11520; y_384 = -715.4 + 0.0667x; interpolation 
11520 <= x 11550; y_385 = -6859.0 + 0.6x; interpolation 
11550 <= x 11580; y_386 = 7001.0 + -0.6x; interpolation 
11580 <= x 11610; y_387 = -6895.0 + 0.6x; interpolation 
11610 <= x 11640; y_388 = 6650.4 + -0.5667x; interpolation 
11640 <= x 11670; y_389 = -6542.4 + 0.5667x; interpolation 
11670 <= x 11700; y_390 = 6294.6 + -0.5333x; interpolation 
11700 <= x 11730; y_391 = -6575.4 + 0.5667x; interpolation 
11730 <= x 11760; y_392 = 6327.6 + -0.5333x; interpolation 
11760 <= x 11790; y_393 = -335.6 + 0.0333x; interpolation 
11790 <= x 11820; y_394 = -4659.0 + 0.4x; interpolation 
11820 <= x 11850; y_395 = 5190.6 + -0.4333x; interpolation 
11850 <= x 11880; y_396 = -5474.4 + 0.4667x; interpolation 
11880 <= x 11910; y_397 = 862.4 + -0.0667x; interpolation 
11910 <= x 11940; y_398 = -1917.4 + 0.1667x; interpolation 
11940 <= x 11970; y_399 = 1267.0 + -0.1x; interpolation 
11970 <= x 12000; y_400 = 70.0 + 0.0x; interpolation 
12000 <= x 12030; y_401 = -329.6 + 0.0333x; interpolation 
12030 <= x 12060; y_402 = 6486.6 + -0.5333x; interpolation 
12060 <= x 12090; y_403 = -6779.4 + 0.5667x; interpolation 
12090 <= x 12120; y_404 = 6519.6 + -0.5333x; interpolation 
12120 <= x 12150; y_405 = -6407.6 + 0.5333x; interpolation 
12150 <= x 12180; y_406 = 6551.6 + -0.5333x; interpolation 
12180 <= x 12210; y_407 = -6439.6 + 0.5333x; interpolation 
12210 <= x 12240; y_408 = 6991.4 + -0.5667x; interpolation 
12240 <= x 12270; y_409 = -761.4 + 0.0667x; interpolation 
